PredictionDate,TargetDate,Ticker,Decision,Open,Close,IntradayReturnPct,Correct
2026-06-17,2026-06-18,AAPL,Not invest,298.11,298.01,-0.03,True
2026-06-17,2026-06-18,MSFT,Not invest,377.82,379.40,0.42,False
2026-06-17,2026-06-18,NVDA,Invest,207.33,210.69,1.62,True
2026-06-17,2026-06-18,GOOGL,Invest,365.75,368.03,0.62,True
2026-06-17,2026-06-18,AMZN,Not invest,240.12,244.39,1.78,False
2026-06-17,2026-06-18,META,Not invest,572.82,577.22,0.77,False
2026-06-17,2026-06-18,TSLA,Not invest,398.10,400.49,0.60,False
2026-06-17,2026-06-18,JPM,Invest,336.95,325.22,-3.48,False
2026-06-17,2026-06-18,AMD,Not invest,531.58,537.37,1.09,False
2026-06-17,2026-06-18,AVGO,Invest,409.58,411.35,0.43,True
2026-06-17,2026-06-18,TSM,Invest,438.88,462.12,5.30,True
2026-06-17,2026-06-18,WMT,Not invest,118.20,117.18,-0.86,True
2026-06-17,2026-06-18,LLY,Invest,1120.49,1098.57,-1.96,False
2026-06-17,2026-06-18,XOM,Invest,138.32,137.81,-0.37,False
2026-06-17,2026-06-18,CAT,Not invest,979.00,985.82,0.70,False
2026-06-18,2026-06-22,AAPL,Not invest,297.31,297.01,-0.10,True
2026-06-18,2026-06-22,MSFT,Not invest,375.74,367.34,-2.24,True
2026-06-18,2026-06-22,NVDA,Invest,211.44,208.65,-1.32,False
2026-06-18,2026-06-22,GOOGL,Invest,357.94,349.68,-2.31,False
2026-06-18,2026-06-22,AMZN,Not invest,240.08,232.79,-3.04,True
2026-06-18,2026-06-22,META,Not invest,572.02,563.85,-1.43,True
2026-06-18,2026-06-22,TSLA,Not invest,394.85,405.05,2.58,False
2026-06-18,2026-06-22,JPM,Invest,329.70,331.48,0.54,True
2026-06-18,2026-06-22,AMD,Not invest,545.50,551.63,1.12,False
2026-06-18,2026-06-22,AVGO,Invest,413.66,392.13,-5.20,False
2026-06-18,2026-06-22,TSM,Invest,476.09,467.67,-1.77,False
2026-06-18,2026-06-22,WMT,Not invest,116.95,117.18,0.19,False
2026-06-18,2026-06-22,LLY,Invest,1112.24,1102.08,-0.91,False
2026-06-18,2026-06-22,XOM,Invest,138.54,138.47,-0.05,False
2026-06-18,2026-06-22,CAT,Not invest,999.28,1022.28,2.30,False
2026-06-22,2026-06-23,AAPL,Invest,297.54,294.30,-1.09,False
2026-06-22,2026-06-23,MSFT,Not invest,372.38,373.94,0.42,False
2026-06-22,2026-06-23,NVDA,Not invest,202.17,200.04,-1.05,True
2026-06-22,2026-06-23,GOOGL,Not invest,340.69,346.13,1.60,False
2026-06-22,2026-06-23,AMZN,Invest,232.55,234.11,0.67,True
2026-06-22,2026-06-23,META,Not invest,562.25,562.20,-0.01,True
2026-06-22,2026-06-23,TSLA,Invest,392.61,381.61,-2.80,False
2026-06-22,2026-06-23,JPM,Not invest,329.47,334.14,1.42,False
2026-06-22,2026-06-23,AMD,Not invest,509.08,519.85,2.12,False
2026-06-22,2026-06-23,AVGO,Not invest,377.87,380.15,0.60,False
2026-06-22,2026-06-23,TSM,Invest,439.18,436.39,-0.64,False
2026-06-22,2026-06-23,WMT,Not invest,119.71,119.42,-0.24,True
2026-06-22,2026-06-23,LLY,Invest,1117.00,1107.08,-0.89,False
2026-06-22,2026-06-23,XOM,Not invest,139.46,139.73,0.19,False
2026-06-22,2026-06-23,CAT,Not invest,985.25,984.24,-0.10,True
2026-06-23,2026-06-24,AAPL,Invest,295.36,293.08,-0.77,False
2026-06-23,2026-06-24,MSFT,Not invest,371.57,365.46,-1.64,True
2026-06-23,2026-06-24,NVDA,Not invest,200.12,199.00,-0.56,True
2026-06-23,2026-06-24,GOOGL,Not invest,349.04,345.29,-1.07,True
2026-06-23,2026-06-24,AMZN,Invest,233.84,234.27,0.18,True
2026-06-23,2026-06-24,META,Not invest,561.89,557.67,-0.75,True
2026-06-23,2026-06-24,TSLA,Invest,380.08,375.53,-1.20,False
2026-06-23,2026-06-24,JPM,Not invest,333.07,333.45,0.11,False
2026-06-23,2026-06-24,AMD,Not invest,520.82,519.74,-0.21,True
2026-06-23,2026-06-24,AVGO,Not invest,386.62,382.07,-1.18,True
2026-06-23,2026-06-24,TSM,Invest,433.98,440.83,1.58,True
2026-06-23,2026-06-24,WMT,Not invest,119.56,119.00,-0.47,True
2026-06-23,2026-06-24,LLY,Invest,1129.41,1117.26,-1.08,False
2026-06-23,2026-06-24,XOM,Not invest,137.12,136.90,-0.16,True
2026-06-23,2026-06-24,CAT,Not invest,981.61,994.45,1.31,False
2026-06-24,2026-06-25,AAPL,Invest,287.40,275.15,-4.26,False
2026-06-24,2026-06-25,MSFT,Not invest,362.77,352.83,-2.74,True
2026-06-24,2026-06-25,NVDA,Not invest,200.08,195.74,-2.17,True
2026-06-24,2026-06-25,GOOGL,Not invest,336.73,343.71,2.07,False
2026-06-24,2026-06-25,AMZN,Invest,232.02,227.01,-2.16,False
2026-06-24,2026-06-25,META,Not invest,555.55,542.87,-2.28,True
2026-06-24,2026-06-25,TSLA,Invest,375.27,375.12,-0.04,False
2026-06-24,2026-06-25,JPM,Not invest,334.96,335.12,0.05,False
2026-06-24,2026-06-25,AMD,Not invest,543.93,532.57,-2.09,True
2026-06-24,2026-06-25,AVGO,Not invest,386.57,378.91,-1.98,True
2026-06-24,2026-06-25,TSM,Invest,452.90,434.99,-3.95,False
2026-06-24,2026-06-25,WMT,Not invest,117.47,115.78,-1.44,True
2026-06-24,2026-06-25,LLY,Invest,1126.99,1127.69,0.06,True
2026-06-24,2026-06-25,XOM,Not invest,135.64,137.55,1.41,False
2026-06-24,2026-06-25,CAT,Not invest,1024.64,1057.01,3.16,False
2026-06-25,2026-06-26,AAPL,Invest,275.00,283.78,3.19,True
2026-06-25,2026-06-26,MSFT,Not invest,357.15,372.97,4.43,False
2026-06-25,2026-06-26,NVDA,Not invest,193.12,192.53,-0.31,True
2026-06-25,2026-06-26,GOOGL,Not invest,342.55,337.39,-1.51,True
2026-06-25,2026-06-26,AMZN,Invest,227.21,232.69,2.41,True
2026-06-25,2026-06-26,META,Not invest,543.34,550.25,1.27,False
2026-06-25,2026-06-26,TSLA,Invest,370.15,379.71,2.58,True
2026-06-25,2026-06-26,JPM,Not invest,336.00,329.05,-2.07,True
2026-06-25,2026-06-26,AMD,Not invest,519.79,521.58,0.34,False
2026-06-25,2026-06-26,AVGO,Not invest,370.45,365.02,-1.47,True
2026-06-25,2026-06-26,TSM,Invest,425.00,432.35,1.73,True
2026-06-25,2026-06-26,WMT,Not invest,117.29,115.69,-1.36,True
2026-06-25,2026-06-26,LLY,Invest,1128.80,1208.12,7.03,True
2026-06-25,2026-06-26,XOM,Not invest,136.97,136.54,-0.31,True
2026-06-25,2026-06-26,CAT,Not invest,1031.85,997.47,-3.33,True
2026-06-26,2026-06-29,AAPL,Invest,286.73,281.74,-1.74,False
2026-06-26,2026-06-29,MSFT,Not invest,377.50,368.57,-2.37,True
2026-06-26,2026-06-29,NVDA,Not invest,193.85,194.97,0.58,False
2026-06-26,2026-06-29,GOOGL,Not invest,341.82,353.65,3.46,False
2026-06-26,2026-06-29,AMZN,Invest,234.22,240.14,2.53,True
2026-06-26,2026-06-29,META,Not invest,560.00,562.60,0.46,False
2026-06-26,2026-06-29,TSLA,Invest,381.79,411.84,7.87,True
2026-06-26,2026-06-29,JPM,Not invest,328.28,329.39,0.34,False
2026-06-26,2026-06-29,AMD,Not invest,522.84,539.49,3.18,False
2026-06-26,2026-06-29,AVGO,Not invest,373.62,372.45,-0.31,True
2026-06-26,2026-06-29,TSM,Invest,437.00,455.10,4.14,True
2026-06-26,2026-06-29,WMT,Not invest,116.47,114.60,-1.61,True
2026-06-26,2026-06-29,LLY,Invest,1222.78,1229.93,0.58,True
2026-06-26,2026-06-29,XOM,Not invest,136.58,136.06,-0.38,True
2026-06-26,2026-06-29,CAT,Not invest,998.41,1033.19,3.48,False
2026-06-29,2026-06-30,AAPL,Not invest,281.17,289.36,2.91,False
2026-06-29,2026-06-30,MSFT,Not invest,371.03,373.02,0.54,False
2026-06-29,2026-06-30,NVDA,Invest,197.24,200.09,1.44,True
2026-06-29,2026-06-30,GOOGL,Not invest,353.87,357.37,0.99,False
2026-06-29,2026-06-30,AMZN,Invest,237.35,238.34,0.42,True
2026-06-29,2026-06-30,META,Not invest,560.94,563.29,0.42,False
2026-06-29,2026-06-30,TSLA,Not invest,406.00,420.60,3.60,False
2026-06-29,2026-06-30,JPM,Not invest,328.89,327.33,-0.47,True
2026-06-29,2026-06-30,AMD,Invest,545.57,580.91,6.48,True
2026-06-29,2026-06-30,AVGO,Not invest,374.79,377.75,0.79,False
2026-06-29,2026-06-30,TSM,Invest,455.61,477.57,4.82,True
2026-06-29,2026-06-30,WMT,Not invest,113.97,113.26,-0.62,True
2026-06-29,2026-06-30,LLY,Invest,1228.88,1199.43,-2.40,False
2026-06-29,2026-06-30,XOM,Not invest,136.48,136.72,0.18,False
2026-06-29,2026-06-30,CAT,Not invest,1045.00,1064.90,1.90,False
2026-06-30,2026-07-01,AAPL,Not invest,293.44,294.38,0.32,False
2026-06-30,2026-07-01,MSFT,Not invest,380.82,384.28,0.91,False
2026-06-30,2026-07-01,NVDA,Invest,196.20,197.58,0.70,True
2026-06-30,2026-07-01,GOOGL,Not invest,358.37,361.21,0.79,False
2026-06-30,2026-07-01,AMZN,Invest,239.75,241.70,0.81,True
2026-06-30,2026-07-01,META,Not invest,607.91,612.91,0.82,False
2026-06-30,2026-07-01,TSLA,Not invest,421.46,425.30,0.91,False
2026-06-30,2026-07-01,JPM,Not invest,328.37,334.07,1.74,False
2026-06-30,2026-07-01,AMD,Invest,557.53,540.88,-2.99,False
2026-06-30,2026-07-01,WMT,Not invest,110.13,108.82,-1.19,True
2026-06-30,2026-07-01,LLY,Invest,1217.51,1191.74,-2.12,False
2026-06-30,2026-07-01,XOM,Not invest,136.53,136.28,-0.18,True
2026-06-30,2026-07-01,CAT,Not invest,1033.92,991.41,-4.11,True
2026-07-01,2026-07-02,AAPL,Not invest,294.12,308.63,4.93,False
2026-07-01,2026-07-02,MSFT,Not invest,384.48,390.49,1.56,False
2026-07-01,2026-07-02,NVDA,Invest,197.14,194.83,-1.17,False
2026-07-01,2026-07-02,GOOGL,Not invest,359.48,359.91,0.12,False
2026-07-01,2026-07-02,AMZN,Invest,241.60,242.67,0.44,True
2026-07-01,2026-07-02,META,Not invest,607.89,582.90,-4.11,True
2026-07-01,2026-07-02,TSLA,Not invest,428.01,393.45,-8.07,True
2026-07-01,2026-07-02,JPM,Not invest,338.02,334.47,-1.05,True
2026-07-01,2026-07-02,AMD,Invest,538.16,517.82,-3.78,False
2026-07-01,2026-07-02,AVGO,Not invest,365.73,360.45,-1.44,True
2026-07-01,2026-07-02,TSM,Invest,450.54,434.16,-3.64,False
2026-07-01,2026-07-02,WMT,Not invest,109.33,111.84,2.30,False
2026-07-01,2026-07-02,LLY,Invest,1193.01,1213.91,1.75,True
2026-07-01,2026-07-02,XOM,Not invest,137.15,137.09,-0.04,True
2026-07-01,2026-07-02,CAT,Not invest,1001.28,963.53,-3.77,True
2026-07-07,2026-07-08,WMT,Not invest,113.15,113.10,-0.04,True
2026-07-07,2026-07-08,LLY,Invest,1221.10,1215.83,-0.43,False
2026-07-07,2026-07-08,XOM,Not invest,143.44,141.13,-1.61,True
2026-07-07,2026-07-08,CAT,Not invest,937.51,948.08,1.13,False
2026-07-08,2026-07-09,AAPL,Not invest,310.51,316.22,1.84,False
2026-07-08,2026-07-09,MSFT,Not invest,374.45,384.36,2.65,False
2026-07-08,2026-07-09,NVDA,Not invest,204.46,202.78,-0.82,True
2026-07-08,2026-07-09,GOOGL,Invest,354.31,358.89,1.29,True
2026-07-08,2026-07-09,AMZN,Not invest,239.82,247.04,3.01,False
2026-07-08,2026-07-09,META,Not invest,583.99,631.48,8.13,False
2026-07-08,2026-07-09,TSLA,Not invest,393.99,406.55,3.19,False
2026-07-08,2026-07-09,JPM,Invest,331.46,335.47,1.21,True
2026-07-08,2026-07-09,AMD,Invest,537.26,546.72,1.76,True
2026-07-08,2026-07-09,AVGO,Invest,402.19,401.11,-0.27,False
2026-07-08,2026-07-09,TSM,Invest,446.73,436.96,-2.19,False
2026-07-08,2026-07-09,WMT,Invest,111.24,112.21,0.87,True
2026-07-08,2026-07-09,LLY,Invest,1211.64,1216.95,0.44,True
2026-07-08,2026-07-09,XOM,Not invest,139.66,137.46,-1.58,True
2026-07-08,2026-07-09,CAT,Not invest,975.08,938.39,-3.76,True
2026-07-09,2026-07-10,AAPL,Not invest,314.72,315.32,0.19,False
2026-07-09,2026-07-10,MSFT,Not invest,387.80,385.10,-0.70,True
2026-07-09,2026-07-10,NVDA,Not invest,202.00,210.96,4.44,False
2026-07-09,2026-07-10,GOOGL,Invest,357.52,357.18,-0.10,False
2026-07-09,2026-07-10,AMZN,Not invest,249.55,245.34,-1.69,True
2026-07-09,2026-07-10,META,Invest,660.34,669.21,1.34,True
2026-07-09,2026-07-10,TSLA,Not invest,410.49,407.76,-0.67,True
2026-07-09,2026-07-10,JPM,Invest,337.47,336.47,-0.30,False
2026-07-09,2026-07-10,AMD,Invest,544.00,557.89,2.55,True
2026-07-09,2026-07-10,AVGO,Invest,398.50,399.97,0.37,True
2026-07-09,2026-07-10,TSM,Invest,438.67,434.11,-1.04,False
2026-07-09,2026-07-10,WMT,Not invest,111.95,113.90,1.74,False
2026-07-09,2026-07-10,LLY,Invest,1210.31,1188.58,-1.80,False
2026-07-09,2026-07-10,XOM,Not invest,137.90,138.88,0.71,False
2026-07-09,2026-07-10,CAT,Not invest,930.68,952.41,2.33,False
2026-07-10,2026-07-13,AAPL,Not invest,317.01,317.31,0.09,False
2026-07-10,2026-07-13,NVDA,Not invest,208.54,203.53,-2.40,True
2026-07-10,2026-07-13,GOOGL,Invest,356.19,352.51,-1.03,False
2026-07-10,2026-07-13,AMZN,Not invest,244.68,247.31,1.07,False
2026-07-10,2026-07-13,META,Invest,661.38,656.73,-0.70,False
2026-07-10,2026-07-13,TSLA,Not invest,404.61,394.76,-2.43,True
2026-07-10,2026-07-13,JPM,Invest,338.34,334.53,-1.13,False
2026-07-10,2026-07-13,AMD,Invest,537.50,534.39,-0.58,False
2026-07-10,2026-07-13,AVGO,Invest,393.48,384.05,-2.40,False
2026-07-10,2026-07-13,TSM,Invest,433.82,421.58,-2.82,False
2026-07-10,2026-07-13,WMT,Not invest,114.72,114.78,0.05,False
2026-07-10,2026-07-13,LLY,Invest,1180.11,1181.87,0.15,True
2026-07-10,2026-07-13,XOM,Not invest,140.92,144.51,2.55,False
2026-07-10,2026-07-13,CAT,Not invest,939.21,931.47,-0.82,True
2026-07-13,2026-07-14,AAPL,Not invest,313.76,314.86,0.35,False
2026-07-13,2026-07-14,MSFT,Not invest,382.82,384.93,0.55,False
2026-07-13,2026-07-14,NVDA,Not invest,208.20,211.80,1.73,False
2026-07-13,2026-07-14,GOOGL,Invest,351.19,359.51,2.37,True
2026-07-13,2026-07-14,AMZN,Not invest,245.55,247.49,0.79,False
2026-07-13,2026-07-14,META,Invest,652.00,661.04,1.39,True
2026-07-13,2026-07-14,TSLA,Not invest,399.05,396.18,-0.72,True
2026-07-13,2026-07-14,JPM,Invest,327.00,342.89,4.86,True
2026-07-13,2026-07-14,AMD,Invest,567.22,548.13,-3.37,False
2026-07-13,2026-07-14,AVGO,Invest,395.72,389.11,-1.67,False
2026-07-13,2026-07-14,TSM,Invest,430.87,420.39,-2.43,False
2026-07-13,2026-07-14,WMT,Not invest,115.08,113.70,-1.20,True
2026-07-13,2026-07-14,LLY,Invest,1166.01,1152.54,-1.16,False
2026-07-13,2026-07-14,XOM,Not invest,145.50,145.09,-0.29,True
2026-07-13,2026-07-14,CAT,Not invest,958.00,933.34,-2.57,True
2026-07-14,2026-07-15,AAPL,Not invest,317.62,327.50,3.11,False
2026-07-14,2026-07-15,MSFT,Not invest,387.80,395.63,2.02,False
2026-07-14,2026-07-15,NVDA,Not invest,211.96,212.50,0.25,False
2026-07-14,2026-07-15,GOOGL,Invest,357.97,370.92,3.62,True
2026-07-14,2026-07-15,AMZN,Not invest,249.75,254.96,2.09,False
2026-07-14,2026-07-15,META,Invest,663.60,681.31,2.67,True
2026-07-14,2026-07-15,TSLA,Not invest,399.39,394.46,-1.24,True
2026-07-14,2026-07-15,JPM,Invest,345.85,346.91,0.31,True
2026-07-14,2026-07-15,AMD,Invest,556.02,529.14,-4.83,False
2026-07-14,2026-07-15,AVGO,Invest,396.09,394.28,-0.46,False
2026-07-14,2026-07-15,TSM,Invest,425.75,419.48,-1.47,False
2026-07-14,2026-07-15,WMT,Not invest,113.25,112.53,-0.64,True
2026-07-14,2026-07-15,LLY,Invest,1145.50,1156.63,0.97,True
2026-07-14,2026-07-15,XOM,Not invest,145.09,144.51,-0.40,True
2026-07-14,2026-07-15,CAT,Not invest,938.58,914.30,-2.59,True
2026-07-15,2026-07-16,AAPL,Not invest,328.00,333.26,1.60,False
2026-07-15,2026-07-16,MSFT,Not invest,398.31,401.10,0.70,False
2026-07-15,2026-07-16,NVDA,Invest,210.17,207.40,-1.32,False
2026-07-15,2026-07-16,GOOGL,Not invest,373.06,354.46,-4.99,True
