Date,Ticker,Open,Close,Decision,Return
2025-07-29,--------,,,--------------,
2025-07-29,SE,161.00,160.46,NOT INVEST,-0.34%
2025-07-29,IONQ,43.01,40.53,WATCH/BOUNCE,-5.77%
2025-07-29,ASTS,53.92,53.09,NOT INVEST,-1.54%
2025-07-29,PLTR,158.72,156.24,NOT INVEST,-1.56%
2025-07-29,QBTS,18.82,17.67,NOT INVEST,-6.11%
2025-07-29,ENVX,15.07,14.26,NOT INVEST,-5.37%
2025-07-29,BIRD,10.60,9.97,NOT INVEST,-5.94%
2025-07-29,TOST,49.13,48.55,NOT INVEST,-1.18%
2025-07-29,DNA,13.77,12.92,NOT INVEST,-6.17%
2025-07-29,RKLB,45.41,43.79,NOT INVEST,-3.57%
2025-07-29,NVDA,177.96,175.51,NOT INVEST,-1.38%
2025-07-29,AAPL,214.18,211.27,NOT INVEST,-1.36%
2025-07-29,MSFT,515.53,512.57,NOT INVEST,-0.57%
2025-07-29,NFLX,1179.00,1168.74,WATCH/BOUNCE,-0.87%
2025-07-29,META,720.00, 700.00, NOT INVEST, -2.78%
